"ModelType","R","S","RS","PropSameAsHo","PropInt"
"R",1,0.532710280373832,0.691588785046729,0.663551401869159,0.0654205607476635
"S",0.532710280373832,1,0.588785046728972,0.663551401869159,0.0467289719626168
"RS",0.691588785046729,0.588785046728972,1,0.654205607476635,0.0934579439252336
